,0
2016-08-10,11615090.282574628
2016-08-11,11664178.35245787
2016-08-12,11733207.353464846
2016-08-15,11770401.38095478
2016-08-16,11770566.26697819
2016-08-17,11783989.139314
2016-08-18,11794785.144024134
2016-08-19,11802863.267525015
2016-08-22,11842724.123652952
2016-08-23,11840675.762487972
2016-08-24,11848683.05348353
2016-08-25,11850861.367815372
2016-08-26,11810228.272875717
2016-08-29,11804358.901827736
2016-08-30,11810859.677163567
2016-08-31,11802683.164188229
2016-09-01,11814859.402285872
2016-09-02,11813684.38459383
2016-09-06,11822307.534307841
2016-09-07,11833391.742365118
2016-09-08,11889416.644376086
2016-09-09,11864587.945462892
2016-09-12,11847387.96739785
2016-09-13,11829215.157925382
2016-09-14,11795022.645450672
2016-09-15,11737523.460116293
2016-09-16,11713021.65242136
2016-09-19,11721396.810867937
2016-09-20,11730580.387063673
2016-09-21,11777336.135913692
2016-09-22,11791903.885638714
2016-09-23,11764376.971242959
2016-09-26,11779193.984459205
2016-09-27,11772159.7331202
2016-09-28,11824026.129361987
2016-09-29,11827807.184042867
2016-09-30,11831601.27915823
2016-10-03,11820524.895256652
2016-10-04,11842730.996373968
2016-10-05,11814394.015016064
2016-10-06,11825794.43487802
2016-10-07,11795452.196387842
2016-10-10,11814567.932655992
2016-10-11,11836294.954264715
2016-10-12,11872351.267470015
2016-10-13,11863800.005053952
2016-10-14,11850846.900517074
2016-10-17,11840637.210509405
2016-10-18,11811702.686398342
2016-10-19,11794346.893699937
2016-10-20,11782418.103840431
2016-10-21,11853123.478065105
2016-10-24,11825109.14954559
2016-10-25,11831986.219619535
2016-10-26,11838818.472289607
2016-10-27,11876650.468964469
2016-10-28,11882058.657714413
2016-10-31,11861091.723637972
2016-11-01,11786391.16758094
2016-11-02,11849113.668833174
2016-11-03,11868508.66779271
2016-11-04,11866230.952142764
2016-11-07,11874859.876304567
2016-11-08,11899630.992846664
2016-11-09,11934828.406788606
2016-11-10,11950112.885084558
2016-11-11,12018081.594289359
2016-11-14,12022236.256558912
2016-11-15,12046824.507018907
2016-11-16,12041595.791675977
2016-11-17,12059929.505652908
2016-11-18,12042761.475440662
2016-11-21,12025519.147401268
2016-11-22,12074629.366088394
2016-11-23,12095762.851175299
2016-11-25,12075865.094028682
2016-11-28,12077346.868862718
2016-11-29,12051038.037051383
2016-11-30,12050549.117063755
2016-12-01,12064858.41631862
2016-12-02,12055971.49882774
2016-12-05,12062939.364855487
2016-12-06,12043152.61946564
2016-12-07,12043842.295935446
2016-12-08,12040439.68018693
2016-12-09,12066247.626299182
2016-12-12,12074475.032943401
2016-12-13,12018446.813148422
2016-12-14,12105114.917655516
2016-12-15,12075625.104300696
2016-12-16,12066287.199662082
2016-12-19,12088405.009609213
2016-12-20,12085062.455608793
2016-12-21,12073605.119809078
2016-12-22,12100135.875687465
2016-12-23,12128721.715532579
2016-12-27,12129936.131007021
2016-12-28,12131737.4600545
2016-12-29,12143997.56840208
2016-12-30,12136700.208870035
2017-01-03,12151313.389387371
2017-01-04,12182229.211487275
2017-01-05,12169341.033525981
2017-01-06,12211376.129445007
2017-01-09,12217887.232889418
2017-01-10,12240468.208097644
2017-01-11,12219778.498064287
2017-01-12,12263823.982275462
2017-01-13,12268455.79167037
2017-01-17,12251476.883686788
2017-01-18,12254974.51120874
2017-01-19,12226392.41057085
2017-01-20,12250976.43478998
2017-01-23,12267288.750092814
2017-01-24,12280516.695914786
2017-01-25,12273998.502850732
2017-01-26,12257937.702098614
2017-01-27,12286559.184262587
2017-01-30,12279656.47723507
2017-01-31,12302992.52388116
2017-02-01,12333415.395526191
2017-02-02,12327169.936299918
2017-02-03,12283651.827251852
2017-02-06,12308770.83580437
2017-02-07,12320845.058290992
2017-02-08,12294276.534188572
2017-02-09,12271057.563294869
2017-02-10,12257152.683951147
2017-02-13,12253081.02648358
2017-02-14,12251911.838580314
2017-02-15,12251226.849432662
2017-02-16,12235872.19117159
2017-02-17,12270875.193430161
2017-02-21,12277497.810209993
2017-02-22,12302522.295846824
2017-02-23,12301061.68559738
2017-02-24,12336385.28565134
2017-02-27,12288656.622159764
2017-02-28,12295326.750591496
2017-03-01,12310548.290580668
2017-03-02,12276658.950460035
2017-03-03,12304159.367747432
2017-03-06,12303610.360726532
2017-03-07,12315815.837838639
2017-03-08,12323853.418072963
2017-03-09,12357833.643124564
2017-03-10,12357695.248286957
2017-03-13,12322321.376909014
2017-03-14,12333087.536671378
2017-03-15,12328660.35847519
2017-03-16,12271655.993394155
2017-03-17,12323785.36708493
2017-03-20,12324365.825919848
2017-03-21,12306856.503627451
2017-03-22,12365022.769413084
2017-03-23,12324801.416600008
2017-03-24,12280510.43557359
2017-03-27,12321983.251718378
2017-03-28,12271705.586430987
2017-03-29,12254711.595084345
2017-03-30,12222370.265055262
2017-03-31,12223588.334396059
2017-04-03,12152624.316536067
2017-04-04,12204100.655012732
2017-04-05,12117322.774552882
2017-04-06,12146089.103356138
2017-04-07,12164550.64410758
2017-04-10,12104312.155097608
2017-04-11,12120101.98063162
2017-04-12,12117901.673074592
2017-04-13,12188813.27618611
2017-04-17,12247581.202965058
2017-04-18,12197473.127492307
2017-04-19,12174321.466170222
2017-04-20,12160285.275002863
2017-04-21,12116447.679904643
2017-04-24,12056542.181732595
2017-04-25,12059277.839206006
2017-04-26,12092724.68343223
2017-04-27,12102249.571611354
2017-04-28,12101790.248760365
2017-05-01,12131764.690634547
2017-05-02,12151244.935392432
2017-05-03,12143537.19469436
2017-05-04,12088712.398945283
2017-05-05,12022133.759041574
2017-05-08,12038050.290307958
2017-05-09,12146082.154158685
2017-05-10,12244811.285406489
2017-05-11,12255524.55889397
2017-05-12,12357422.777592199
2017-05-15,12584518.040539082
2017-05-16,12618832.388480904
2017-05-17,12584063.610678224
2017-05-18,12556823.764598979
2017-05-19,12589322.22053155
2017-05-22,12526963.100490084
2017-05-23,12459325.985638341
2017-05-24,12386940.165001838
2017-05-25,12352041.95541137
2017-05-26,12352763.716405582
2017-05-30,12315926.103235366
2017-05-31,12353797.536431711
2017-06-01,12364204.580628183
2017-06-02,12347641.797461972
2017-06-05,12307091.121093811
2017-06-06,12335525.482026562
2017-06-07,12326362.212242946
2017-06-08,12304076.524719175
2017-06-09,12241918.595371377
2017-06-12,12387574.126949769
2017-06-13,12404947.037739268
2017-06-14,12397957.508245414
2017-06-15,12458980.838959323
2017-06-16,12441916.804742105
2017-06-19,12401388.893270066
2017-06-20,12346802.490386548
2017-06-21,12366859.17612108
2017-06-22,12350839.69026655
2017-06-23,12391646.893340563
2017-06-26,12420757.692051368
2017-06-27,12472600.226963311
2017-06-28,12427169.544160945
2017-06-29,12404189.871544972
2017-06-30,12443945.862334345
2017-07-03,12459338.535521414
2017-07-05,12483745.33489111
2017-07-06,12447922.936734837
2017-07-07,12435155.958542265
2017-07-10,12428997.709772574
2017-07-11,12482157.960560078
2017-07-12,12466212.00422244
2017-07-13,12418214.870207496
2017-07-14,12448898.59647305
2017-07-17,12429742.23117716
2017-07-18,12407996.94482643
2017-07-19,12409378.198935214
2017-07-20,12454266.1033025
2017-07-21,12460487.642468752
2017-07-24,12456190.84259395
2017-07-25,12416955.839340147
2017-07-26,12391829.256124549
2017-07-27,12420044.909906931
2017-07-28,12497645.379074782
2017-07-31,12537142.278138405
2017-08-01,12503756.008830588
2017-08-02,12515590.637710422
2017-08-03,12540753.768466458
2017-08-04,12564715.363967972
2017-08-07,12502428.671514468
2017-08-08,12443392.238424774
2017-08-09,12461102.32782376
2017-08-10,12492423.077809958
2017-08-11,12504072.8785238
2017-08-14,12463610.066791318
2017-08-15,12438244.137917848
2017-08-16,12388937.792670228
2017-08-17,12359758.555529857
2017-08-18,12374934.466552949
2017-08-21,12387887.37167101
2017-08-22,12388384.86792424
2017-08-23,12330693.82668122
2017-08-24,12333648.506551012
2017-08-25,12296653.635100879
2017-08-28,12325208.70887089
2017-08-29,12299754.322198985
2017-08-30,12236205.3393276
2017-08-31,12168167.753908142
2017-09-01,12179009.57290901
2017-09-05,12147834.794909574
2017-09-06,12136694.583425567
2017-09-07,12113697.158649532
2017-09-08,12099379.066597521
2017-09-11,12070148.199784627
2017-09-12,12121454.870652793
2017-09-13,12188689.38092716
2017-09-14,12259758.733786328
2017-09-15,12334825.208908629
2017-09-18,12347647.085808272
2017-09-19,12330376.674547374
2017-09-20,12256247.051391402
2017-09-21,12332170.109924851
2017-09-22,12443781.286993217
2017-09-25,12487630.964291072
2017-09-26,12511927.249510912
2017-09-27,12498181.963702539
2017-09-28,12478894.88027664
2017-09-29,12469956.180412088
2017-10-02,12501156.504845008
2017-10-03,12480727.203882769
